pr_url,repo_full_name,repo_url,pr_title,repo_stars,changed_files,merged_at,terms_found
https://github.com/nextcloud/text/pull/3789,nextcloud/text,https://github.com/nextcloud/text,fix(SessionApi): only send content if no session is open,628,22,2023-02-16T14:09:57Z,race condition
https://github.com/tulios/kafkajs/pull/1532,tulios/kafkajs,https://github.com/tulios/kafkajs,Ensure checkPendingRequests is run when the throttle delay is marginal,3987,3,2023-02-27T12:07:06Z,race condition
https://github.com/jangouts/jangouts/pull/425,jangouts/jangouts,https://github.com/jangouts/jangouts,Handle wrong PIN,444,5,2023-02-25T12:03:28Z,race condition
https://github.com/WordPress/gutenberg/pull/48063,WordPress/gutenberg,https://github.com/WordPress/gutenberg,Refactor the site editor URLs for better backward compatibility,11602,23,2023-02-16T08:38:58Z,race condition
https://github.com/Ontotext-AD/graphdb-workbench/pull/861,Ontotext-AD/graphdb-workbench,https://github.com/Ontotext-AD/graphdb-workbench,GDB-7916 separate cypress flaky tests in its own test suite,56,13,2023-02-15T10:36:58Z,flaky test
https://github.com/fastify/fastify-multipart/pull/415,fastify/fastify-multipart,https://github.com/fastify/fastify-multipart,Fix flaky test on windows,540,2,2023-02-14T13:56:16Z,flaky test
https://github.com/RobotWebTools/rclnodejs/pull/897,RobotWebTools/rclnodejs,https://github.com/RobotWebTools/rclnodejs,Improve resiliency of entities when destroyed,421,7,2023-03-07T17:45:51Z,race condition
https://github.com/LiskArchive/lisk-mobile/pull/1682,LiskArchive/lisk-mobile,https://github.com/LiskArchive/lisk-mobile,Fix show Lisk as the default blockchain application,104,3,2023-02-27T12:41:50Z,race condition
https://github.com/web3-storage/web3.storage/pull/2226,web3-storage/web3.storage,https://github.com/web3-storage/web3.storage,fix: stop creating a Stripe account during web3.storage account creation,506,5,2023-03-10T18:39:38Z,race condition
https://github.com/LedgerHQ/ledger-live/pull/2741,LedgerHQ/ledger-live,https://github.com/LedgerHQ/ledger-live,Support/fix LLD custom lock screen flaky test,571,8,2023-02-22T16:50:46Z,flaky test
https://github.com/adobecom/milo/pull/519,adobecom/milo,https://github.com/adobecom/milo,Adding event driven modals to decorateMeta in utils.js,41,4,2023-03-15T11:22:58Z,race condition
https://github.com/nextcloud/text/pull/3890,nextcloud/text,https://github.com/nextcloud/text,fix: load fresh session if none are remaining,628,3,2023-03-04T21:54:36Z,race condition
https://github.com/nextcloud/text/pull/3891,nextcloud/text,https://github.com/nextcloud/text,[stable26] fix: load fresh session if none are remaining,628,3,2023-03-06T13:11:34Z,race condition
https://github.com/Ontotext-AD/graphdb-workbench/pull/875,Ontotext-AD/graphdb-workbench,https://github.com/Ontotext-AD/graphdb-workbench,Cherry-pick GDB-7947 and GDB-7948 in 2.2,56,23,2023-03-01T14:55:54Z,flaky test
https://github.com/mozilla/fxa/pull/14946,mozilla/fxa,https://github.com/mozilla/fxa,fix(test): Use `newPagesForSync` in flaky tests and disable coppa,671,10,2023-03-08T14:59:20Z,flaky test
https://github.com/adobe/aem-core-forms-components/pull/525,adobe/aem-core-forms-components,https://github.com/adobe/aem-core-forms-components,@trivial Fixing flaky test,34,6,2023-03-08T05:50:15Z,flaky test
https://github.com/microsoft/contosotraders-cloudtesting/pull/151,microsoft/contosotraders-cloudtesting,https://github.com/microsoft/contosotraders-cloudtesting,Playwright 1.31,168,14,2023-03-07T15:31:47Z,flaky test
https://github.com/HHS/Head-Start-TTADP/pull/1396,HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP,Fix flaky tests on the groups scope,27,3,2023-03-07T15:14:50Z,flaky test
https://github.com/parse-community/parse-server/pull/8468,parse-community/parse-server,https://github.com/parse-community/parse-server,ci: Fix flaky tests,21388,10,2023-03-10T22:54:06Z,flaky test
https://github.com/CheckerNetwork/node/pull/40,CheckerNetwork/node,https://github.com/CheckerNetwork/node,fix flaky test,34,1,2023-03-13T15:49:03Z,flaky test
https://github.com/cypress-io/cypress/pull/26070,cypress-io/cypress,https://github.com/cypress-io/cypress,chore: rewrite flaky server integration test,49610,2,2023-03-10T00:20:09Z,flaky test
https://github.com/nextcloud/text/pull/3945,nextcloud/text,https://github.com/nextcloud/text,chore(deps): Bump webpack from 5.74.0 to 5.76.1,628,6,2023-03-15T09:21:30Z,race condition
https://github.com/TryGhost/Ghost/pull/16425,TryGhost/Ghost,https://github.com/TryGhost/Ghost,fixed member newsletter test,52372,1,2023-03-16T15:43:17Z,flaky test
https://github.com/Kong/insomnia/pull/5856,Kong/insomnia,https://github.com/Kong/insomnia,Fix scope filter on project view.,38249,1,2023-03-21T14:06:40Z,race condition
https://github.com/bigbluebutton/bigbluebutton/pull/17123,bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton, (fix) - fix of race condition and refactor of modals,9068,94,2023-04-12T19:26:47Z,race condition
https://github.com/nasa/openmct/pull/6511,nasa/openmct,https://github.com/nasa/openmct,chore: bump Playwright to v1.32.3,12868,50,2023-04-18T22:32:29Z,race condition
https://github.com/vercel/next.js/pull/47586,vercel/next.js,https://github.com/vercel/next.js,Fix race condition of invalidation,138620,1,2023-03-28T06:13:31Z,race condition
https://github.com/MetaMask/metamask-extension/pull/18344,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,Fix firsttimeloaded logic,13100,5,2023-04-06T14:43:02Z,race condition
https://github.com/transloadit/uppy/pull/4384,transloadit/uppy,https://github.com/transloadit/uppy,@uppy/provider-views: fix race condition when adding folders,30700,8,2023-04-04T03:13:39Z,race condition
https://github.com/share/sharedb/pull/602,share/sharedb,https://github.com/share/sharedb,✅ Try to fix flaky Milestone DB tests,6532,1,2023-03-28T16:44:44Z,race condition
https://github.com/cypress-io/cypress/pull/26179,cypress-io/cypress,https://github.com/cypress-io/cypress,fix: Use resolved git root on Windows,49610,4,2023-03-27T17:30:05Z,flaky test
https://github.com/BrightspaceUI/core/pull/3434,BrightspaceUI/core,https://github.com/BrightspaceUI/core,fix: Flaky list-controls visual diff,77,1,2023-03-24T18:05:24Z,flaky test
https://github.com/databricks/databricks-sql-nodejs/pull/129,databricks/databricks-sql-nodejs,https://github.com/databricks/databricks-sql-nodejs,[PECO-618] Better handling of in-progress/subsequent action taken on closed session/operation,32,10,2023-08-17T06:17:27Z,race condition
https://github.com/americanexpress/one-service-worker/pull/79,americanexpress/one-service-worker,https://github.com/americanexpress/one-service-worker,Fix broken build,29,9,2023-03-30T21:50:24Z,race condition | flaky test
https://github.com/shaka-project/shaka-player/pull/5129,shaka-project/shaka-player,https://github.com/shaka-project/shaka-player,fix: Fix race that allows multiple text streams to be loaded,8037,4,2023-04-18T16:59:24Z,race condition
https://github.com/vercel/next.js/pull/47694,vercel/next.js,https://github.com/vercel/next.js,test: disable the flaky test for parallel-routes-and-interception,138620,1,2023-03-30T15:25:51Z,flaky test
https://github.com/mozilla/fxa/pull/15122,mozilla/fxa,https://github.com/mozilla/fxa,fix(tests): Add some tweaks to reduce flaky playwright tests,671,26,2023-04-06T03:43:46Z,flaky test
https://github.com/TryGhost/Koenig/pull/569,TryGhost/Koenig,https://github.com/TryGhost/Koenig,Improved flaky tests,266,6,2023-04-03T14:46:03Z,flaky test
https://github.com/nodejs/node/pull/47403,nodejs/node,https://github.com/nodejs/node,test: fix flaky test-watch-mode-inspect,116553,1,2023-04-04T23:54:14Z,flaky test
https://github.com/TryGhost/Koenig/pull/573,TryGhost/Koenig,https://github.com/TryGhost/Koenig,Fixed slash menu flaky test,266,2,2023-04-04T12:52:21Z,flaky test
https://github.com/huridocs/uwazi/pull/5667,huridocs/uwazi,https://github.com/huridocs/uwazi,Migrating flaky tests to cypress,300,33,2023-04-12T11:28:18Z,flaky test
https://github.com/Agoric/agoric-sdk/pull/7330,Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,Workaround ava worker deadlocks,354,17,2023-04-07T23:56:20Z,race condition
https://github.com/IgorKowalczyk/majo.exe/pull/350,IgorKowalczyk/majo.exe,https://github.com/IgorKowalczyk/majo.exe,Update nextjs monorepo to v13.3.0,286,27,2023-04-07T21:46:59Z,race condition | flaky test
https://github.com/sindresorhus/globby/pull/246,sindresorhus/globby,https://github.com/sindresorhus/globby,Fix error when reading inaccessible directories with `gitignore: true` and `suppressErrors: true`,2634,4,2023-04-11T12:00:04Z,race condition
https://github.com/Automattic/wp-calypso/pull/75458,Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,AT E2E: fix the `Likes: Comments` spec to wait for the comment to be fully present on the page prior to interaction.,12634,1,2023-04-11T01:39:07Z,race condition
https://github.com/hyperledger-labs/fabric-operations-console/pull/443,hyperledger-labs/fabric-operations-console,https://github.com/hyperledger-labs/fabric-operations-console,"fix logic on orderer modals, speed improvement",120,11,2023-04-12T00:11:28Z,race condition
https://github.com/facebook/react/pull/26561,facebook/react,https://github.com/facebook/react,Fix: Move `destroy` field to shared instance object,244395,3,2023-04-06T16:08:06Z,concurrency bug
https://github.com/Automattic/wp-calypso/pull/75354,Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,Use domcontentloaded as load event when checking ssr in e2e tests,12634,1,2023-04-07T18:48:55Z,flaky test
https://github.com/TryGhost/Ghost/pull/16582,TryGhost/Ghost,https://github.com/TryGhost/Ghost,Added retries for all known flaky tests,52372,7,2023-04-07T07:37:01Z,flaky test
https://github.com/TryGhost/Koenig/pull/579,TryGhost/Koenig,https://github.com/TryGhost/Koenig,Fixed flaky tests,266,4,2023-04-07T12:58:58Z,flaky test
https://github.com/TryGhost/Ghost/pull/16592,TryGhost/Ghost,https://github.com/TryGhost/Ghost,Fixed flaky test: Can generate a mentions report,52372,1,2023-04-08T02:03:22Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/18540,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,Fix e2e test for NFT interactions,13100,1,2023-04-12T11:51:34Z,race condition
https://github.com/vercel/next.js/pull/48322,vercel/next.js,https://github.com/vercel/next.js,Fix dev getStaticPaths/generateStaticParams calling,138620,2,2023-04-13T22:42:55Z,race condition
https://github.com/Automattic/wp-calypso/pull/75891,Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,E2E: Stabilize the Editor post schedule tests,12634,1,2023-05-05T09:41:47Z,race condition
https://github.com/BrightspaceUI/core/pull/3533,BrightspaceUI/core,https://github.com/BrightspaceUI/core,fix: Event subscription before registry is ready,77,4,2023-04-19T15:38:28Z,race condition
https://github.com/atlassian/react-sweet-state/pull/195,atlassian/react-sweet-state,https://github.com/atlassian/react-sweet-state,Fix store cleanup race condition,887,2,2023-04-19T23:27:39Z,race condition
https://github.com/psychobolt/react-rollup-boilerplate/pull/572,psychobolt/react-rollup-boilerplate,https://github.com/psychobolt/react-rollup-boilerplate,Update storybook monorepo to v7 (major),30,126,2024-03-03T23:42:53Z,race condition
https://github.com/MetaMask/metamask-extension/pull/18658,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,[E2E]: wait for gas estimate to update,13100,1,2023-04-19T12:36:25Z,flaky test
https://github.com/TryGhost/Koenig/pull/630,TryGhost/Koenig,https://github.com/TryGhost/Koenig,Fixed flaky tests,266,6,2023-04-20T05:18:09Z,flaky test
https://github.com/facebook/lexical/pull/4394,facebook/lexical,https://github.com/facebook/lexical,Split test files and skip flaky tests in linux + collab,23195,16,2023-04-25T02:25:26Z,flaky test
https://github.com/strapi/strapi/pull/16497,strapi/strapi,https://github.com/strapi/strapi,fix(RW): flaky test,71783,1,2023-04-26T08:02:09Z,flaky test
https://github.com/alephdata/aleph/pull/3011,alephdata/aleph,https://github.com/alephdata/aleph,Fix flaky test,2344,1,2023-04-28T14:50:50Z,flaky test
https://github.com/mozilla/fxa/pull/15221,mozilla/fxa,https://github.com/mozilla/fxa,test(functional): run and skip react tests conditionally,671,6,2023-04-26T16:16:56Z,flaky test
https://github.com/brianc/node-postgres/pull/2969,brianc/node-postgres,https://github.com/brianc/node-postgres,Fix race condition in release event test for pool,13108,1,2023-05-01T14:15:20Z,race condition
https://github.com/vercel/next.js/pull/48890,vercel/next.js,https://github.com/vercel/next.js,test: disable client cache flaky test,138620,1,2023-04-26T21:44:51Z,flaky test
https://github.com/WordPress/gutenberg/pull/50146,WordPress/gutenberg,https://github.com/WordPress/gutenberg,Skip creating flaky issues on PRs,11602,3,2023-04-28T12:19:36Z,flaky test
https://github.com/browser-automation/cba/pull/113,browser-automation/cba,https://github.com/browser-automation/cba,No issue - increased delay to fix flaky tests,126,4,2023-04-30T13:06:03Z,flaky test
https://github.com/Boostport/setup-cloudflare-warp/pull/12,Boostport/setup-cloudflare-warp,https://github.com/Boostport/setup-cloudflare-warp,Fix MDM registration race condition,71,8,2023-05-03T23:04:12Z,race condition
https://github.com/KijijiCA/react-advertising/pull/127,KijijiCA/react-advertising,https://github.com/KijijiCA/react-advertising,fix: race condition with requestManager for tam & prebid bids,77,3,2023-05-05T13:23:29Z,race condition
https://github.com/mainmatter/ember-promise-modals/pull/856,mainmatter/ember-promise-modals,https://github.com/mainmatter/ember-promise-modals,setupPromiseModals should wait for test waiters to settle,33,2,2023-06-01T09:27:59Z,race condition
https://github.com/WordPress/gutenberg/pull/50445,WordPress/gutenberg,https://github.com/WordPress/gutenberg,Fix wp-env destroy,11602,1,2023-05-08T21:32:12Z,race condition
https://github.com/holepunchto/hyperbee/pull/102,holepunchto/hyperbee,https://github.com/holepunchto/hyperbee,Use ready-resource for watcher,293,3,2023-05-10T11:02:03Z,race condition
https://github.com/vercel/next.js/pull/49178,vercel/next.js,https://github.com/vercel/next.js,Fix flaky test,138620,1,2023-05-03T23:25:47Z,flaky test
https://github.com/medic/cht-core/pull/8234,medic/cht-core,https://github.com/medic/cht-core,fix(#7250): race condition in loading contacts,526,9,2023-05-15T09:11:33Z,race condition
https://github.com/holepunchto/hyperbee/pull/105,holepunchto/hyperbee,https://github.com/holepunchto/hyperbee,Add getAndWatch,293,4,2023-05-12T09:39:47Z,race condition
https://github.com/onflow/fcl-js/pull/1648,onflow/fcl-js,https://github.com/onflow/fcl-js,Fixed getChainIdDefault() race condition,332,7,2023-05-17T21:13:39Z,race condition
https://github.com/adobecom/milo/pull/701,adobecom/milo,https://github.com/adobecom/milo,Fix some flaky unit tests,41,20,2023-05-10T10:27:48Z,flaky test
https://github.com/pulsar-edit/pulsar/pull/523,pulsar-edit/pulsar,https://github.com/pulsar-edit/pulsar,"Making CI green, hopefully",3988,6,2023-05-10T05:07:36Z,flaky test
https://github.com/tshino/vscode-kb-macro/pull/250,tshino/vscode-kb-macro,https://github.com/tshino/vscode-kb-macro,Fix flaky tests on AwaitController,51,1,2023-05-14T16:14:39Z,flaky test
https://github.com/CesiumGS/cesium/pull/11296,CesiumGS/cesium,https://github.com/CesiumGS/cesium,Terrain availability race condition,15076,5,2023-05-19T18:45:36Z,race condition
https://github.com/sveltejs/kit/pull/9947,sveltejs/kit,https://github.com/sveltejs/kit,fix: Flaky test,20407,2,2023-05-17T01:59:51Z,flaky test
https://github.com/elementor/elementor/pull/22482,elementor/elementor,https://github.com/elementor/elementor,Internal: Skip flaky tests [ED-10768],6810,2,2023-05-18T13:03:05Z,flaky test
https://github.com/vercel/next.js/pull/50064,vercel/next.js,https://github.com/vercel/next.js,test: disable cache flaky test,138620,1,2023-05-19T21:19:57Z,flaky test
https://github.com/elementor/elementor/pull/22513,elementor/elementor,https://github.com/elementor/elementor,Internal: Lightbox image captions aligned centre - flaky test [ED-10813],6810,1,2023-05-22T11:05:59Z,flaky test
https://github.com/nodejs/node/pull/48144,nodejs/node,https://github.com/nodejs/node,test: fix flaky test-runner-watch-mode,116553,4,2023-05-25T18:20:09Z,flaky test
https://github.com/nodejs/node/pull/48147,nodejs/node,https://github.com/nodejs/node,test: fix flaky test-watch-mode,116553,10,2023-06-08T11:35:14Z,flaky test
https://github.com/holepunchto/hyperdrive/pull/334,holepunchto/hyperdrive,https://github.com/holepunchto/hyperdrive,Add test to detect regression on drive.close() race condition,1985,1,2023-05-25T11:59:44Z,race condition
https://github.com/Agoric/agoric-sdk/pull/7845,Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,fix(vat-bank): getPurse race,354,1,2023-05-26T20:09:21Z,race condition
https://github.com/TryGhost/Koenig/pull/696,TryGhost/Koenig,https://github.com/TryGhost/Koenig,Update lexical to ^0.11.0,266,5,2023-05-30T23:49:19Z,flaky test
https://github.com/ampproject/amphtml/pull/39037,ampproject/amphtml,https://github.com/ampproject/amphtml,❄️ Disable flaky test `should execute next and prev actions`,14915,1,2023-05-31T19:23:13Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/19330,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,feature(17901): fix address-book `Sends to an address book entry` e2e against MV3 build,13100,9,2023-05-30T12:44:57Z,flaky test
https://github.com/inokawa/react-native-react-bridge/pull/113,inokawa/react-native-react-bridge,https://github.com/inokawa/react-native-react-bridge,Update dependency react-native to v0.72.1,294,4,2023-06-30T15:39:15Z,race condition
https://github.com/mozilla/fxa/pull/15397,mozilla/fxa,https://github.com/mozilla/fxa,fix(fxa-settings): Expired reset password link should always redirect,671,17,2023-06-02T23:36:45Z,race condition
https://github.com/mdziekon/OctoPrint-SpoolManager/pull/11,mdziekon/OctoPrint-SpoolManager,https://github.com/mdziekon/OctoPrint-SpoolManager,GH-10 | Refactor spool manager edit spool dialog,21,8,2023-06-02T22:15:43Z,race condition
https://github.com/Koenkk/zigbee2mqtt/pull/17891,Koenkk/zigbee2mqtt,https://github.com/Koenkk/zigbee2mqtt,Fix race condition with for reinitializing after MQTT reconnect,15002,2,2023-06-07T07:16:11Z,race condition
https://github.com/MetaMask/metamask-extension/pull/19372,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,feature(17901): fix import UI error against MV3 Build,13100,1,2023-06-05T13:15:48Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/19397,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,feature(17901): fix flaky tests in send-eth e2e,13100,1,2023-06-02T11:54:54Z,flaky test
https://github.com/ampproject/amphtml/pull/39090,ampproject/amphtml,https://github.com/ampproject/amphtml,"Revert ""🏗 Add `process.exit(0)` to task runner when tasks finish (#39…",14915,1,2023-06-05T20:24:53Z,flaky test
https://github.com/ampproject/amphtml/pull/39097,ampproject/amphtml,https://github.com/ampproject/amphtml,🏗 Part 2 Lint fixes: Fix Object with types,14915,241,2023-06-05T23:37:56Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/19462,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"feat(17901): fix network, add-account and mv3 phishing warning issue",13100,5,2023-06-08T13:21:21Z,flaky test
